PN,Nome,Descrição,UN,Importância,Tipo / Categoria,Local,Estoque Atual,Mínimo (30 dias),Máximo ( 60 dias),LEADTIME TOTAL
10PP0008,PAPEL OFICIO BRANCO 210MM X 297MM A4,Consumo: 4 resma por dia - Informação baseada na ultima compra F60922 150 resma chegou em 06/04/2026 finalizando em 12/05/2026,RM,Parada de Linha,Expediente,SUPERMERCADO,102,96,192,20 dias
12PL0024,SOLVENTE QUÍMICO KYZEN C8622,Consumo: 80 LT por 3 meses,GL,Parada de Linha,Químico,SUPERMERCADO,3,30,60,25 dias
13CB0001,CABO CONECTOR USB TIPO C,,UN,Parada de Linha,Consumivel,SEM-SALDO,0,30,60,20 dias
21MP0104,FRESA 1.2MM,"Consumo: 5 uni por dia - Informação Olina
Consumo: OP de 100k 39 fresas - Informção Udson Miranda - Analista Engenharia SMT",UN,Parada de Linha,Ponta,MRO-20,0,200,400,20 dias
21MP0105,FRESA 1.0 MM,Consumo: OP de 100k 183 fresas - Informção Udson Miranda - Analista Engenharia SMT,UN,Parada de Linha,Ponta,MRO-20,1050,184,368,20 dias
29TP0003,FITA ADESIVA CREPE 18MM X 50M,,UN,Parada de Linha,Expediente,MRO-21,135,50,100,20 dias
29TP0004,FITA ADESIVA DUREX 18MM X 50M,,UN,Parada de Linha,Expediente,ARM-EXP-05,6,50,100,20 dias
29TP0005,FITA ADESIVA DUREX 48MM X 50M,,UN,Parada de Linha,Expediente,SEM-SALDO,0,5,10,20 dias
29TP0082,FITA KAPTON DIM 12MMX33M,,UN,Parada de Linha,Consumivel,SEM-SALDO,0,10,20,20 dias
30UC0002,DEDEIRA ANTI-ESTATICA,DEDEIRA ANTI-ESTATICA BEGE PCT 720 - TAM M,PCT,Parada de Linha,ESD,MRO-14,19,100,200,20 dias
30UC0010,ESPONJA MELAMINA BRANCA,ESPONJA MELAMINA BRANCA 230 MM X 54 MM X 20 MM - MODELO 007,UN,Parada de Linha,Consumivel,MRO-14,236,1000,2000,20 dias
30UC0016,MALHA DESSOLDADORA 2.0 MM X 1.5 M,MALHA DESSOLDADORA 2.0 MM X 1.5 M,UN,Parada de Linha,Consumivel,MRO-14,93,50,100,20 dias
30UC0017,MALHA DESSOLDADORA 2.5 MM X 1.5 M,MALHA DESSOLDADORA 2.5 MM X 1.5 M,UN,Parada de Linha,Consumivel,MRO-14,102,50,100,20 dias
30UC0018,MALHA DESSOLDADORA 3.0MM X 1.5M,,UN,Parada de Linha,Consumivel,SEM-SALDO,0,50,100,20 dias
30UC0030,PONTA FERRO SOLDA T12 MODELO C1,,UN,Parada de Linha,Consumivel,MRO-14,177,150,300,20 dias
